logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
rua setubal;1462;apto 601 quinta tereza beltrao;1560000,00;Boa Viagem;Recife;PE;2011;993;270,28;0,04;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-10;Bom;Apartamento;0,00;55093;-8.144787;-34.906122;2025
rua setubal;1462;apto 601 quinta tereza beltrao;1560000,00;Boa Viagem;Recife;PE;2011;993;270,28;0,04;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-16;Bom;Apartamento;0,00;55093;-8.144787;-34.906122;2025
rua setubal;1510;apto 0302 edf francisco neto;860000,00;Boa Viagem;Recife;PE;1975;952;213,15;0,03846;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-20;Bom;Apartamento;643200,00;55093;-8.145256;-34.906349;2025
rua setubal;1630;apto 0301 edf brunoville;570000,00;Boa Viagem;Recife;PE;1997;670;160,4;0,0428;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-08;Bom;Apartamento;0,00;55093;-8.145914;-34.906666;2025
rua setubal;1630;apto 0101 edf brunoville;526146,85;Boa Viagem;Recife;PE;1997;670;160,4;0,0428;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-25;Bom;Apartamento;0,00;55093;-8.145914;-34.906666;2025
rua setubal;1630;apto 0601 edf brunoville;543000,00;Boa Viagem;Recife;PE;1997;670;160,4;0,0428;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-09;Bom;Apartamento;0,00;55093;-8.145914;-34.906666;2025
rua baltazar passos;53;apto 1303 edf costa dos corais;370000,00;Boa Viagem;Recife;PE;2009;684;53,03;0,01591;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-08;Bom;Apartamento;0,00;9709;-8.14497;-34.905694;2025
rua baltazar passos;53;apto 303 edf costa dos corais;320000,00;Boa Viagem;Recife;PE;2009;684;54,55;0,01637;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-07;Bom;Apartamento;0,00;9709;-8.14497;-34.905694;2025
rua baltazar passos;53;apto 504 edf costa dos corais;410000,00;Boa Viagem;Recife;PE;2009;684;75,74;0,02273;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-29;Bom;Apartamento;287000,00;9709;-8.14497;-34.905694;2025
av boa viagem;6500;apto 0701 edf el greco - bloco a;1100000,00;Boa Viagem;Recife;PE;1977;2621;270,38;0,01477;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-11;Bom;Apartamento;0,00;11720;-8.145588;-34.905925;2025
av boa viagem;6500;apto 0701 edf el greco - bloco b;1100000,00;Boa Viagem;Recife;PE;1977;2621;270,38;0,01477;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-23;Bom;Apartamento;0,00;11720;-8.145588;-34.905925;2025
av boa viagem;6576;apto 0601 edf canavial;2400000,00;Boa Viagem;Recife;PE;1999;900;446,9;0,08324;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-11;Bom;Apartamento;0,00;11720;-8.146249;-34.906039;2025
