logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
av norte miguel arraes de alencar;3071;;1068562,63;Encruzilhada;Recife;PE;1997;438;511;1;Médio;Galpão;COMERCIAL SEM LIXO ORGANICO;2025-11-30;Regular;Galpão;0,00;46540;-8.034273;-34.896337;2025
av norte miguel arraes de alencar;3071;;1068562,63;Encruzilhada;Recife;PE;1997;438;511;1;Médio;Galpão;COMERCIAL SEM LIXO ORGANICO;2025-11-30;Regular;Galpão;0,00;46540;-8.034273;-34.896337;2025
av norte miguel arraes de alencar;3029;;1951000,00;Encruzilhada;Recife;PE;1957;779,33;582,44;1;Médio;Casa;COMERCIAL SEM LIXO ORGANICO;2025-11-30;Regular;Casa;0,00;46540;-8.034435;-34.896335;2025
rua caio pereira;375;apto 101 edf luar do rosarinho;393452,82;Encruzilhada;Recife;PE;2007;798,91;118,64;0,02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-28;Bom;Apartamento;263000,00;13269;-8.034996;-34.896187;2025
rua caio pereira;375;apto 501 edf luar do rosarinho;402821,74;Encruzilhada;Recife;PE;2007;798,91;118,64;0,02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-02;Bom;Apartamento;200000,00;13269;-8.034996;-34.896187;2025
rua caio pereira;375;apto 1202 edf luar do rosarinho;462821,07;Encruzilhada;Recife;PE;2007;798,91;132,11;0,027;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-30;Bom;Apartamento;261476,04;13269;-8.034996;-34.896187;2025
rua caio pereira;375;apto 1302 edf luar do rosarinho;465551,99;Encruzilhada;Recife;PE;2007;798,91;132,11;0,027;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-06;Bom;Apartamento;0,00;13269;-8.034996;-34.896187;2025
rua caio pereira;375;apto 302 edf luar do rosarinho;398109,72;Encruzilhada;Recife;PE;2007;798,91;118,64;0,02518;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-12;Bom;Apartamento;0,00;13269;-8.034996;-34.896187;2025
rua caio pereira;375;apto 803 edf luar do rosarinho;505000,00;Encruzilhada;Recife;PE;2007;798,91;132,01;0,02698;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0,00;13269;-8.034996;-34.896187;2025
rua caio pereira;800;apto 1201 edf sainte juliana;790000,00;Encruzilhada;Recife;PE;2017;1295,39;145,68;0,01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-14;Bom;Apartamento;0,00;13269;;;2025
rua caio pereira;800;apto 1503 edf sainte juliana;780000,00;Encruzilhada;Recife;PE;2017;1295,39;145,49;0,01581;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-03;Bom;Apartamento;470000,00;13269;;;2025
rua caio pereira;800;apto 1703 edf sainte juliana;800000,00;Encruzilhada;Recife;PE;2017;1295,39;145,49;0,01581;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-29;Bom;Apartamento;525000,00;13269;;;2025
rua caio pereira;800;apto 1501 edf sainte juliana;780000,00;Encruzilhada;Recife;PE;2017;1295,39;145,68;0,01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0,00;13269;;;2025
rua caio pereira;800;apto 1602 edf sainte juliana;840000,00;Encruzilhada;Recife;PE;2017;1295,39;145,8;0,01589;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-14;Bom;Apartamento;565600,32;13269;;;2025
av santos dumont;824;;1882395,00;Encruzilhada;Recife;PE;1951;466,88;290,97;1;Médio;Casa;RESIDENCIAL;2025-11-27;Bom;Casa;0,00;53996;-8.034406;-34.896653;2025
rua caio pereira;334;apto 201 edf essenza rosarinho;1080000,00;Encruzilhada;Recife;PE;2011;1737,63;183,6;0,01923;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-11;Bom;Apartamento;580000,00;13269;-8.035095;-34.896937;2025
rua caio pereira;334;apto 202 edf essenza rosarinho;1000000,00;Encruzilhada;Recife;PE;2011;1737,63;183,6;0,01923;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-14;Bom;Apartamento;0,00;13269;-8.035095;-34.896937;2025
rua belmiro correa;59;apto 602 edf. jardim monet;1050000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-13;Bom;Apartamento;0,00;10715;-8.035535;-34.896122;2025
rua belmiro correa;59;apto 1501 edf. jardim monet;1200000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-18;Bom;Apartamento;350000,00;10715;-8.035535;-34.896122;2025
rua doutor jose maria;578;apto 0102 edf praia de ceres;595739,42;Encruzilhada;Recife;PE;2002;861;184,77;0,03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0,00;36196;-8.035868;-34.89625;2025
rua doutor jose maria;600;apto 503 edf maria rosa;525000,00;Encruzilhada;Recife;PE;2010;2431;111,89;0,00754;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-16;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 104 edf maria rosa;516707,95;Encruzilhada;Recife;PE;2010;2431;139,57;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-13;Bom;Apartamento;400000,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 2704 edf maria rosa;700000,00;Encruzilhada;Recife;PE;2010;2431;139,58;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-02;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 1803 edf maria rosa;550000,00;Encruzilhada;Recife;PE;2010;2431;111,89;0,00754;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-25;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 1101 edf maria rosa;650000,00;Encruzilhada;Recife;PE;2010;2431;139,58;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-31;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 1003 edf maria rosa;512572,51;Encruzilhada;Recife;PE;2010;2431;111,89;0,00754;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-12-01;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 1003 edf maria rosa;512572,51;Encruzilhada;Recife;PE;2010;2431;111,89;0,00754;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-12-02;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;600;apto 101 edf maria rosa;600000,00;Encruzilhada;Recife;PE;2010;2431;139,58;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-02;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2025
rua doutor jose maria;658;apto 1701 edf casa rosada;600000,00;Encruzilhada;Recife;PE;2010;3090,5;244,73;0,01401;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-09;Bom;Apartamento;0,00;36196;-8.035419;-34.897024;2025
rua doutor jose maria;512;apto 802 privilege rosarinho;600000,00;Encruzilhada;Recife;PE;2016;1619,23;122,37;0,01403;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-30;Bom;Apartamento;0,00;36196;-8.035969;-34.895826;2025
rua andre reboucas;106;apto 302 edf bellagio residence;230000,00;Rosarinho;Recife;PE;2015;610,36;59,74;0,02165;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-16;Bom;Apartamento;0,00;4928;-8.032817;-34.897594;2025
rua andre reboucas;118;apto 0502 edf ana lopes;350000,00;Rosarinho;Recife;PE;1974;748,85;144,15;0,07635;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-16;Bom;Apartamento;0,00;4928;-8.032759;-34.897729;2025
av santos dumont;881;apto 0904 edf ilha de cedros;367000,00;Rosarinho;Recife;PE;1984;1231,05;99,45;0,02799;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-01;Bom;Apartamento;0,00;53996;-8.033767;-34.896839;2025
rua engenheiro sampaio;68;apto 1204 splendid rosarinho;340000,00;Rosarinho;Recife;PE;2014;2202,75;59,93;0,00727;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-11;Bom;Apartamento;238000,00;53627;-8.033695;-34.897214;2025
rua engenheiro sampaio;68;apto 303 splendid rosarinho;77377,67;Rosarinho;Recife;PE;2014;2202,75;59,93;0,00727;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-23;Bom;Apartamento;0,00;53627;-8.033695;-34.897214;2025
rua engenheiro sampaio;68;apto 105 splendid rosarinho;415000,00;Rosarinho;Recife;PE;2014;2202,75;99,82;0,01211;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-24;Bom;Apartamento;288000,00;53627;-8.033695;-34.897214;2025
rua engenheiro sampaio;68;apto 1305 splendid rosarinho;503500,00;Rosarinho;Recife;PE;2014;2202,75;99,82;0,01211;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-04;Bom;Apartamento;0,00;53627;-8.033695;-34.897214;2025
rua engenheiro sampaio;68;apto 1902 splendid rosarinho;500000,00;Rosarinho;Recife;PE;2014;2202,75;99,82;0,01211;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-23;Bom;Apartamento;0,00;53627;-8.033695;-34.897214;2025
rua engenheiro sampaio;68;apto 1105 splendid rosarinho;460000,00;Rosarinho;Recife;PE;2014;2202,75;99,82;0,01211;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-30;Bom;Apartamento;100000,00;53627;-8.033695;-34.897214;2025
rua engenheiro sampaio;68;apto 404 splendid rosarinho;300000,00;Rosarinho;Recife;PE;2014;2202,75;59,93;0,00727;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-23;Bom;Apartamento;0,00;53627;-8.033695;-34.897214;2025
rua engenheiro sampaio;110;apto 1002 edf villa aguinaldo jurema;761207,97;Rosarinho;Recife;PE;2016;1084,52;180;0,025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-20;Bom;Apartamento;0,00;53627;;;2025
rua engenheiro sampaio;110;apto 101 edf villa aguinaldo jurema;728323,36;Rosarinho;Recife;PE;2016;1084,52;180;0,025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-15;Bom;Apartamento;0,00;53627;;;2025
rua engenheiro sampaio;110;apto 1902 edf villa aguinaldo jurema;1050000,00;Rosarinho;Recife;PE;2016;1084,52;180;0,025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-12;Bom;Apartamento;300697,43;53627;;;2025
rua andre reboucas;45;apto 2702 edf david becker;1498000,00;Rosarinho;Recife;PE;2013;2610;207,27;0,01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-06;Bom;Apartamento;445000,00;4928;-8.033397;-34.896962;2025
rua andre reboucas;45;apto 502 edf david becker;1150000,00;Rosarinho;Recife;PE;2013;2610;207,27;0,01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-19;Bom;Apartamento;0,00;4928;-8.033397;-34.896962;2025
rua andre reboucas;45;apto 502 edf david becker;1150000,00;Rosarinho;Recife;PE;2013;2610;207,27;0,01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-23;Bom;Apartamento;0,00;4928;-8.033397;-34.896962;2025
rua engenheiro sampaio;59;apto 1601 edf gran parc premium-bloco b;860000,00;Rosarinho;Recife;PE;2015;2961,24;151,19;0,00735;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-20;Bom;Apartamento;530000,00;53627;-8.0341;-34.897511;2025
av santos dumont;815;apto 2001 edf pedra do sitio das roseiras;650000,00;Rosarinho;Recife;PE;2008;1020;148,26;0,01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-27;Bom;Apartamento;400000,00;53996;-8.034253;-34.897062;2025
av santos dumont;815;apto 1202 edf pedra do sitio das roseiras;725000,00;Rosarinho;Recife;PE;2008;1020;148,26;0,01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-23;Bom;Apartamento;0,00;53996;-8.034253;-34.897062;2025
av santos dumont;815;apto 2502 edf pedra do sitio das roseiras;640000,00;Rosarinho;Recife;PE;2008;1020;148,26;0,01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-19;Bom;Apartamento;434000,00;53996;-8.034253;-34.897062;2025
rua caio pereira;275;apto 0202 edf artemis;608000,00;Rosarinho;Recife;PE;1999;1075,2;162,45;0,02173;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-31;Bom;Apartamento;242500,00;13269;-8.034534;-34.8972;2025
rua caio pereira;275;apto 1002 edf artemis;610000,00;Rosarinho;Recife;PE;1999;1075,2;162,45;0,02173;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-09;Bom;Apartamento;0,00;13269;-8.034534;-34.8972;2025
rua caio pereira;175;apto 201 edf maria esther;950000,00;Rosarinho;Recife;PE;2009;1050,63;189,82;0,03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-14;Bom;Apartamento;0,00;13269;-8.034401;-34.898153;2025
rua caio pereira;175;apto 1402 edf maria esther;1000000,00;Rosarinho;Recife;PE;2009;1050,63;189,82;0,03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-10;Bom;Apartamento;0,00;13269;-8.034401;-34.898153;2025
av santos dumont;725;apto 2702 edf desb dirceu borges;1280000,00;Rosarinho;Recife;PE;2008;1918,49;200,45;0,01785;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-22;Bom;Apartamento;780000,00;53996;-8.034973;-34.897451;2025
av santos dumont;725;apto 302 edf desb dirceu borges;1000000,00;Rosarinho;Recife;PE;2008;1918,49;200,45;0,01785;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-10;Bom;Apartamento;241165,25;53996;-8.034973;-34.897451;2025
rua doutor jose maria;792;apto 1104 edf parque da jaqueira home service;302733,34;Rosarinho;Recife;PE;2011;1129,36;74,88;0,01114;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-28;Bom;Apartamento;0,00;36196;-8.035164;-34.898152;2025
rua doutor jose maria;792;apto 903 edf parque da jaqueira home service;299192,10;Rosarinho;Recife;PE;2011;1129,36;74,88;0,01114;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-16;Bom;Apartamento;60000,00;36196;-8.035164;-34.898152;2025
rua doutor jose maria;792;apto 1505 edf parque da jaqueira home service;309791,68;Rosarinho;Recife;PE;2011;1129,36;74,84;0,01113;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-04;Bom;Apartamento;0,00;36196;-8.035164;-34.898152;2025
rua doutor jose maria;792;apto 1503 edf parque da jaqueira home service;350000,00;Rosarinho;Recife;PE;2011;1129,36;74,88;0,01114;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-12;Bom;Apartamento;0,00;36196;-8.035164;-34.898152;2025
rua doutor jose maria;792;apto 506 edf parque da jaqueira home service;293000,00;Rosarinho;Recife;PE;2011;1129,36;74,33;0,01105;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-15;Bom;Apartamento;0,00;36196;-8.035164;-34.898152;2025
rua doutor jose maria;792;apto 803 edf parque da jaqueira home service;297437,05;Rosarinho;Recife;PE;2011;1129,36;74,88;0,01114;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-20;Bom;Apartamento;153114,33;36196;-8.035164;-34.898152;2025
rua doutor jose maria;792;apto 1302 edf parque da jaqueira home service;306167,88;Rosarinho;Recife;PE;2011;1129,36;74,84;0,01113;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-01;Bom;Apartamento;150000,00;36196;-8.035164;-34.898152;2025
rua regueira costa;287;apto 2501 edf saint guilherme;1050000,00;Rosarinho;Recife;PE;2013;1166,23;161,9;0,01961;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-09;Bom;Apartamento;0,00;57029;-8.032697;-34.898533;2025
rua regueira costa;287;apto 2202 edf saint guilherme;760000,00;Rosarinho;Recife;PE;2013;1166,23;165,25;0,02001;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-01;Bom;Apartamento;509205,41;57029;-8.032697;-34.898533;2025
rua regueira costa;287;apto 2002 edf saint guilherme;960000,00;Rosarinho;Recife;PE;2013;1166,23;165,25;0,02001;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-26;Bom;Apartamento;740000,00;57029;-8.032697;-34.898533;2025
rua regueira costa;287;apto 2401 edf saint guilherme;723406,43;Rosarinho;Recife;PE;2013;1166,23;165,25;0,02001;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-24;Bom;Apartamento;443000,00;57029;-8.032697;-34.898533;2025
rua regueira costa;287;apto 2102 edf saint guilherme;850000,00;Rosarinho;Recife;PE;2013;1166,23;165,25;0,02001;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-30;Bom;Apartamento;320000,00;57029;-8.032697;-34.898533;2025
rua regueira costa;265;apto 1901 edf. quinta das orquídeas;356000,00;Rosarinho;Recife;PE;2021;1639,99;74,7;0,01006;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-21;Bom;Apartamento;224000,00;57029;-8.032985;-34.898666;2025
rua regueira costa;265;apto 1002 edf. quinta das orquideas;300000,00;Rosarinho;Recife;PE;2021;1639,99;73,75;0,00993;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-24;Bom;Apartamento;0,00;57029;-8.032985;-34.898666;2025
rua regueira costa;265;apto 303 edf. quinta das orquídeas;335000,00;Rosarinho;Recife;PE;2021;1639,99;73,75;0,00993;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-25;Bom;Apartamento;0,00;57029;-8.032985;-34.898666;2025
rua regueira costa;265;apto 303 edf. quinta das orquídeas;335000,00;Rosarinho;Recife;PE;2021;1639,99;73,75;0,00993;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-05;Bom;Apartamento;0,00;57029;-8.032985;-34.898666;2025
rua engenheiro sampaio;255;apto 0903 edf débora;376193,89;Rosarinho;Recife;PE;2003;1022,4;101,43;0,01716;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-29;Bom;Apartamento;245000,00;53627;-8.033781;-34.899086;2025
rua caio pereira;75;apto 1202 edf abelardo carneiro leão;1010000,00;Rosarinho;Recife;PE;2017;1030,98;181,32;0,03231;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-16;Bom;Apartamento;442687,19;13269;;;2025
rua caio pereira;75;apto 401 edf abelardo carneiro leao;813000,00;Rosarinho;Recife;PE;2017;1030,98;192,47;0,03359;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-16;Bom;Apartamento;0,00;13269;;;2025
rua caio pereira;75;apto 601 edf abelardo carneiro leão;800000,00;Rosarinho;Recife;PE;2017;1030,98;181,32;0,03231;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-04;Bom;Apartamento;0,00;13269;;;2025
rua caio pereira;75;apto 1002 edf abelardo carneiro leao;950000,00;Rosarinho;Recife;PE;2017;1030,98;192,47;0,03359;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-19;Bom;Apartamento;0,00;13269;;;2025
rua caio pereira;75;apto 1002 edf abelardo carneiro leao;950000,00;Rosarinho;Recife;PE;2017;1030,98;192,47;0,03359;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-02;Bom;Apartamento;0,00;13269;;;2025
rua general abreu e lima;144;apto 1901 edf mirante;1620000,00;Rosarinho;Recife;PE;2012;2210;237,22;0,01562;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-16;Bom;Apartamento;0,00;388;-8.034044;-34.89935;2025
rua general abreu e lima;144;apto 2802 edf mirante;1700000,00;Rosarinho;Recife;PE;2012;2210;237,22;0,01562;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-20;Bom;Apartamento;0,00;388;-8.034044;-34.89935;2025
av norte miguel arraes de alencar;3533;apto 0102 bloco p1;375000,00;Tamarineira;Recife;PE;1984;16216,63;83,71;0,00459;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-07;Bom;Apartamento;0,00;46540;-8.031186;-34.899559;2025
av norte miguel arraes de alencar;3533;apto 0603 bloco p1;350000,00;Tamarineira;Recife;PE;1984;16216,63;83,71;0,00459;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-16;Bom;Apartamento;0,00;46540;-8.031186;-34.899559;2025
av norte miguel arraes de alencar;3533;apto 0601 bloco p3;350000,00;Tamarineira;Recife;PE;1984;16216,63;106,13;0,00583;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-21;Bom;Apartamento;0,00;46540;-8.031186;-34.899559;2025
av norte miguel arraes de alencar;3533;apto 0204 bloco p2;410000,00;Tamarineira;Recife;PE;1984;16216,63;106,13;0,00583;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-25;Bom;Apartamento;0,00;46540;-8.031186;-34.899559;2025
av norte miguel arraes de alencar;3533;apto 0607 bloco p3;350000,00;Tamarineira;Recife;PE;1984;16216,63;83,71;0,00459;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-23;Bom;Apartamento;50000,00;46540;-8.031186;-34.899559;2025
av norte miguel arraes de alencar;3533;apto 0503 bloco p3;350000,00;Tamarineira;Recife;PE;1984;16216,63;83,71;0,00459;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-09;Bom;Apartamento;0,00;46540;-8.031186;-34.899559;2025
av norte miguel arraes de alencar;3533;apto 0301 bloco p3;370000,00;Tamarineira;Recife;PE;1984;16216,63;106,13;0,00583;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-11;Bom;Apartamento;220000,00;46540;-8.031186;-34.899559;2025
rua general abreu e lima;401;;600000,00;Tamarineira;Recife;PE;1939;440;75,64;1;Simples;Casa;RESIDENCIAL;2025-10-23;Bom;Casa;0,00;388;-8.031824;-34.898595;2025
rua general abreu e lima;391;;550000,00;Tamarineira;Recife;PE;2017;888;682;1;Médio;Edificação Especial;COMERCIAL COM LIXO ORGANICO;2025-10-23;Bom;Edificação Especial;0,00;388;;;2025
rua general abreu e lima;233;apto 1301 edf morada ilha verde;1700000,00;Tamarineira;Recife;PE;1997;4876,49;405,46;0,03846;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-18;Bom;Apartamento;0,00;388;-8.033159;-34.899861;2025
rua general abreu e lima;155;apto 0301 edf cel. antonio lucena;1235000,00;Tamarineira;Recife;PE;1999;1296;249,1;0,03846;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-26;Bom;Apartamento;840000,00;388;-8.033728;-34.899719;2025
rua general abreu e lima;155;apto 0101 edf cel. antonio lucena;1100000,00;Tamarineira;Recife;PE;1999;1296;249,1;0,03846;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-22;Bom;Apartamento;0,00;388;-8.033728;-34.899719;2025
rua general abreu e lima;65;apto 1801 edf quinta das oliveiras;762962,51;Tamarineira;Recife;PE;2004;1068;192,86;0,02658;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-20;Bom;Apartamento;0,00;388;-8.03449;-34.900195;2025
rua general abreu e lima;65;apto 1001 edf quinta das oliveiras;727884,89;Tamarineira;Recife;PE;2004;1068;192,86;0,02658;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-01;Bom;Apartamento;0,00;388;-8.03449;-34.900195;2025
rua doutor jose maria;1135;apto 1901 edf la vie garden;1050000,00;Tamarineira;Recife;PE;2004;957,77;216,47;0,04347;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-12;Bom;Apartamento;0,00;36196;-8.035099;-34.901315;2025
rua doutor jose maria;1135;apto 701 edf la vie garden;850000,00;Tamarineira;Recife;PE;2004;957,77;216,47;0,04347;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-16;Bom;Apartamento;0,00;36196;-8.035099;-34.901315;2025
av conselheiro rosa e silva;1930;apto 103 edf golden jaqueira home service;284632,63;Tamarineira;Recife;PE;2024;1644,09;66,87;0,01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-26;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2025
av conselheiro rosa e silva;1930;apto 1403 edf golden jaqueira home service;307256,08;Tamarineira;Recife;PE;2024;1644,09;66,87;0,01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-18;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2025
av conselheiro rosa e silva;1930;apto 1403 edf golden jaqueira home service;307256,08;Tamarineira;Recife;PE;2024;1644,09;66,87;0,01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-18;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2025
av conselheiro rosa e silva;1930;apto 303 edf golden jaqueira home service;288001,54;Tamarineira;Recife;PE;2024;1644,09;66,87;0,01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-25;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2025
av conselheiro rosa e silva;1930;apto 1304 edf golden jaqueira home service;300679,37;Tamarineira;Recife;PE;2024;1644,09;65,72;0,01418;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-05;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2025
av conselheiro rosa e silva;1930;apto 101 edf golden jaqueira home service;280183,71;Tamarineira;Recife;PE;2024;1644,09;65,72;0,01419;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-11;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2025
av conselheiro rosa e silva;1930;apto 101 edf golden jaqueira home service;280183,71;Tamarineira;Recife;PE;2024;1644,09;65,72;0,01419;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-11;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2025
av conselheiro rosa e silva;1930;apto 805 edf golden jaqueira home service;330000,00;Tamarineira;Recife;PE;2024;1644,09;65,72;0,01418;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-26;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2025
av conselheiro rosa e silva;1930;apto 802 edf golden jaqueira home service;333000,00;Tamarineira;Recife;PE;2024;1644,09;66,87;0,01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-24;Bom;Apartamento;200000,00;59382;-8.035235;-34.901863;2025
av conselheiro rosa e silva;1930;apto 402 edf golden jaqueira home service;289700,92;Tamarineira;Recife;PE;2024;1644,09;66,87;0,01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-16;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2025
